Film,Year,Jump,Scary,Gore,IMDB,Rotten,Location,lat,lon
Funny Games,2008,,10,,6.5,52%,usa,40,-70
Jennifer’s Body,2009,15,10,7,5.1,42%,usa,40,-110
Tales of Halloween,2015,,10,,8.3,79%,usa,40,-110
The Cloverfield Paradox,2018,29,10,5,5.7,18%,usa,40,-110
Lake Placid,1999,,9,15,5.6,40%,usa,40,-90
Hellraiser: Hellseeker,2002,9,9,12,5.1,,united kingdom,55,3
"Silent Night, Deadly Night Part 2",1987,12,9,19,3.4,,usa,40,-120
Riki-Oh: The Story of Ricky,1991,5,9,32,7.2,89%,hong kong,22,114
Planet Terror,2007,9,9,29,7.2,77%,usa,40,-100
Saw V,2008,5,9,19,5.8,12%,usa,40,-110
Texas Chainsaw 3D,2013,5,9,9,4.8,,usa,40,-70
Hellraiser: Revelations,2011,9,9,19,2.8,,united kingdom,55,3
Atrocious,2011,5,9,9,5.1,56%,spain,40,4
Resident Evil: Damnation,2012,5,9,5,6.5,,japan,36,138
The Returned,2013,,9,,5.9,58%,spain,40,4
Grave Encounters 2,2012,12,9,9,5.1,14%,canada,56,-106
Van Helsing,2004,5,8,5,6,,usa,40,-80
Zombieland,2009,17,8,24,7.7,90%,usa,40,-110
Behind the Mask: The Rise of Leslie Vernon,2006,,7,,6.8,74%,usa,40,-100
Resident Evil,2002,,7,5,6.7,33%,japan,36,138
Eight Legged Freaks,2002,5,7,5,5.4,48%,usa,40,-100
Lost After Dark,2015,7,7,12,,,canada,56,-106
#Horror,2015,7,7,10,,,usa,40,-90
Diggers,2016,9,5,5,,,usa,40,-120
The Texas Chainsaw Massacre: The Beginning,2006,15,5,35,5.9,12%,usa,40,-90
Birdemic: Shock and Terror,2010,5,5,12,1.8,20%,usa,40,-120
Tucker and Dale vs. Evil,2010,,5,,7.6,84%,canada,56,-106
Game of Werewolves,2012,,5,,6.1,,spain,40,4
Stage Fright,2014,9,5,12,5.2,34%,canada,56,-106
Life After Beth,2014,5,5,19,5.7,45%,usa,40,-90
Stung,2015,,5,,5,54%,usa,40,-110
Vampire,2012,,5,,5.4,,japan,36,138
Bite,2015,7,5,5,6.3,,canada,56,-106
The 5th Wave,2016,5,5,5,,16%,usa,40,-70
Flay,2016,32,5,5,,,usa,40,-70
Yakuza Apocalypse,2015,5,5,12,5.7,61%,japan,36,138
Desierto,2016,5,5,15,6.6,,mexico,24,-103
Tremors,1990,,4,,7.2,84%,usa,40,-70
Funny Games,1998,,4,,7.6,63%,austria,48,15
.com for Murder,2002,,4,,2.7,,usa,40,-90
The Mummy,1932,,4,,7.2,93%,usa,40,-70
Plan 9 from Outer Space,1959,,,,4,66%,usa,40,-80
The Screaming Skull,1958,,,,3.2,,usa,40,-70
The Thing That Couldn’t Die,1958,,,,3.2,,usa,40,-100
The Crawling Eye,1958,,,,4.7,63%,usa,40,-70
